S.No.,name,"Father name",username,password,"mobile Number","Email ID",State,city,address,pincode,"Date of Birth",course,gender,"profile Pic",hobbies
1,test1,wwe,hjgjh,202cb962ac59075b964b07152d234b70,4567894521,fgd@ghjg.hg,"Arunachal Pradesh",Chandigarh,5456,65465,2009-09-22,B.Sc,Male,http://localhost/amitoj/uploads/test1_1560409728.png,"outdoor games, riding"
2,test3,wwe,dssf,202cb962ac59075b964b07152d234b70,4865975234,fgd@ghjg.hg,"Arunachal Pradesh",Chandigarh,5456,65465,2009-09-22,B.Sc,other,http://localhost/amitoj/uploads/test3_1560409778.png,"outdoor games, coding, Other"
3,dfwf,ewffe,ewfwe,202cb962ac59075b964b07152d234b70,5555555555,fwf@gmail.com,"Arunachal Pradesh",Zirakpur,545,465845,2004-05-16,M.Sc,Male,http://localhost/amitoj/uploads/dfwf_1560415300.png,"coding, riding"
4,vedikaa,adsa,sdsaa,202cb962ac59075b964b07152d234b70,4569852364,vaedika@gmail.coma,"Arunachal Pradesh",Chandigarh,45A,546542,2019-06-04,B.Sc,Female,http://localhost/amitoj/uploads/vedika_1560757970.png,"outdoor games, indoor games"
5,vedika,,root,c4ca4238a0b923820dcc509a6f75849b,4567891230,vedi12ka@gmail.com,"Arunachal Pradesh",Chandigarh,435C,,,M.Sc,Male,http://localhost/amitoj/uploads/vedika_1560758748.png,"outdoor games, indoor games"
6,wqewe,,wqewqe,c4ca4238a0b923820dcc509a6f75849b,1234667890,wqewqewqe@fdgdgfd.fsdf,"Andhra Pradesh",Mohali,sd,,,M.Sc,Male,http://localhost/amitoj/uploads/wqewe_1560759809.png,"indoor games"
7,dfdf,,faadf,c4ca4238a0b923820dcc509a6f75849b,4658975231,asdsad@gmfk.com,Haryana,Panchkula,"1255 B block panchkula",,,M.Tech,Male,http://localhost/amitoj/uploads/dfdf_1560765176.png,"coding, riding"
8,vaibhav,,vaibhav,25d55ad283aa400af464c76d713c07ad,8465233156,vaibhav.99@gmail.com,Punjab,Mohali,"34, sector 70",,,B.Tech,Male,http://localhost/amitoj/uploads/vaibhav_1560919340.png,"coding, riding"
9,mohit,,mohit001,25d55ad283aa400af464c76d713c07ad,9655325222,mohit.001@gmail.com,Punjab,Zirakpur,"65, sector 20",,,M.Sc,Male,http://localhost/amitoj/uploads/mohit_1560930365.png,"indoor games, coding, Other"
10,amitoj,,ami_009,25d55ad283aa400af464c76d713c07ad,4567894521,frezze009.amitoj@gmail.com,"Arunachal Pradesh",Chandigarh,54,,,B.Tech,Male,http://localhost/amitoj/uploads/amitoj_1561370411.png,"indoor games"
